reg;jour;three_class;P;T;pop;incidence;positivite;incidence hebdo
Nouvelle-Aquitaine;2020-09-23;0-19;142;3158;1293321.0;10.979486144584367;4.496516782773908;71.9852225394933
Nouvelle-Aquitaine;2020-09-23;20-59;447;8292;2836500.0;15.758857747223692;5.3907380607814765;100.68746694870437
Nouvelle-Aquitaine;2020-09-23;60+;100;2906;1870161.0;5.347133214733918;3.4411562284927735;40.42432710338842
Nouvelle-Aquitaine;2020-09-23;whole;689;14358;5999982.0;11.483367783436684;4.798718484468589;75.78356068401538
Nouvelle-Aquitaine;2020-09-24;0-19;128;2874;1293321.0;9.897001595118304;4.453723034098817;69.58829246567558
Nouvelle-Aquitaine;2020-09-24;20-59;439;8736;2836500.0;15.4768200246783;5.0251831501831505;96.98572184029614
Nouvelle-Aquitaine;2020-09-24;60+;125;3411;1870161.0;6.683916518417399;3.664614482556435;38.17853115320018
Nouvelle-Aquitaine;2020-09-24;whole;692;15023;5999982.0;11.533367933437134;4.606270385409039;72.80021840065521
Nouvelle-Aquitaine;2020-09-25;0-19;152;3075;1293321.0;11.752689394202985;4.943089430894309;67.65528434162903
Nouvelle-Aquitaine;2020-09-25;20-59;464;8690;2836500.0;16.358187907632644;5.339470655926353;94.83518420588753
Nouvelle-Aquitaine;2020-09-25;60+;104;3406;1870161.0;5.561018543323275;3.0534351145038165;36.36050586019064
Nouvelle-Aquitaine;2020-09-25;whole;721;15172;5999982.0;12.016702716774818;4.7521750593198;70.80021240063721
Nouvelle-Aquitaine;2020-09-26;0-19;54;1339;1293321.0;4.175297547940534;4.032860343539955;65.18103394284945
Nouvelle-Aquitaine;2020-09-26;20-59;198;3473;2836500.0;6.980433632998414;5.701122948459545;93.63652388506962
Nouvelle-Aquitaine;2020-09-26;60+;43;1396;1870161.0;2.299267282335585;3.080229226361032;35.77232120656991
Nouvelle-Aquitaine;2020-09-26;whole;295;6209;5999982.0;4.916681416710917;4.751167659848607;69.51687521729232
Nouvelle-Aquitaine;2020-09-27;0-19;12;246;1293321.0;0.927843899542341;4.878048780487805;64.871752643002
Nouvelle-Aquitaine;2020-09-27;20-59;52;928;2836500.0;1.833245196545038;5.603448275862069;93.03719372466067
Nouvelle-Aquitaine;2020-09-27;60+;16;493;1870161.0;0.855541314357427;3.2454361054766734;35.66537854227523
Nouvelle-Aquitaine;2020-09-27;whole;80;1667;5999982.0;1.3333373333453333;4.799040191961608;69.13354073395553
Nouvelle-Aquitaine;2020-09-28;0-19;148;2913;1293321.0;11.443408094355538;5.080672845863371;60.30985347025216
Nouvelle-Aquitaine;2020-09-28;20-59;486;8950;2836500.0;17.13379164463247;5.430167597765363;90.67512779834301
Nouvelle-Aquitaine;2020-09-28;60+;142;3720;1870161.0;7.592929164922165;3.8172043010752685;35.82579253871725
Nouvelle-Aquitaine;2020-09-28;whole;777;15593;5999982.0;12.95003885011655;4.98300519463862;67.1002013006039
Nouvelle-Aquitaine;2020-09-29;0-19;101;2723;1293321.0;7.809352821148037;3.7091443261109074;56.985079496892105
Nouvelle-Aquitaine;2020-09-29;20-59;412;7892;2836500.0;14.52494271108761;5.220476431829701;88.06627886479815
