jour;three_class;P;T;pop;incidence;positivite;incidence hebdo
2020-08-21;0-19;774;20911;16099691.846810132;4.807545432326733;3.7014011764143278;22.497325007606495
2020-08-21;20-59;3744;103833;33157720.0476845;11.291488059540011;3.6057900667417875;58.53538775310152
2020-08-21;60+;533;37425;17857583.105505366;2.9847264148286667;1.4241816967267868;16.36839645505477
2020-08-21;whole;5058;162307;67114995.0;7.536318821151666;3.1163166098812747;38.69627048322062
2020-08-22;0-19;317;9626;16099691.846810132;1.9689817855911813;3.293164346561396;23.932135078494706
2020-08-22;20-59;1610;42506;33157720.0476845;4.855581136714588;3.787700559920952;61.8347702149436
2020-08-22;60+;243;15978;17857583.105505366;1.3607664517886793;1.5208411565903117;17.01798044027077
2020-08-22;whole;2172;68177;67114995.0;3.2362365519061727;3.1858251316426363;40.843331657850825
2020-08-23;0-19;114;3141;16099691.846810132;0.7080880869318444;3.629417382999045;24.093628852707234
2020-08-23;20-59;705;13685;33157720.0476845;2.126201677878127;5.1516258677383995;62.53445644085528
2020-08-23;60+;128;5616;17857583.105505366;0.7167823285142014;2.2792022792022792;17.124377817159594
2020-08-23;whole;947;22448;67114995.0;1.4110110564710612;4.218638631503921;41.256056116818606
2020-08-24;0-19;961;24271;16099691.846810132;5.969058346855285;3.9594577891310614;25.820369976979627
2020-08-24;20-59;5177;119083;33157720.0476845;15.613256860106475;4.3473879562993885;66.94670190856549
2020-08-24;60+;744;41073;17857583.105505366;4.166297284488795;1.811408954787817;18.193951447989377
2020-08-24;whole;6885;184511;67114995.0;10.258512274343461;3.731484843722054;44.13618744961539
2020-08-25;0-19;1022;22539;16099691.846810132;6.347947586353904;4.534362660277741;28.435326859420908
2020-08-25;20-59;4936;112929;33157720.0476845;14.886427634051682;4.370887903018711;71.036247263463
2020-08-25;60+;746;39652;17857583.105505366;4.17749700837183;1.8813679007364068;19.50991900424592
2020-08-25;whole;6714;175269;67114995.0;10.003725694980682;3.8306831213734314;47.14594704208799
2020-08-26;0-19;918;22830;16099691.846810132;5.701972489503801;4.021024967148488;30.249026169807742
2020-08-26;20-59;4902;116455;33157720.0476845;14.783887411288763;4.209351251556395;74.85436261692924
2020-08-26;60+;729;39870;17857583.105505366;4.082299355366038;1.8284424379232507;20.58509249701722
2020-08-26;whole;6568;179372;67114995.0;9.786188615524743;3.661664027830431;49.77725171550709
2020-08-27;0-19;1099;24126;16099691.846810132;6.826217609983307;4.555251595788776;32.32981133754606
2020-08-27;20-59;5428;126345;33157720.0476845;16.370244975209182;4.296173176619574;79.92708775478883
2020-08-27;60+;758;41427;17857583.105505366;4.244695351670036;1.8297245757597704;21.733064195028245
2020-08-27;whole;7289;191974;67114995.0;10.860464192837979;3.796868325919135;53.092457207215766
2020-08-28;0-19;1208;26275;16099691.846810132;7.503249201874281;4.597526165556612;35.025515107093604
2020-08-28;20-59;5391;127741;33157720.0476845;16.25865708573189;4.220258178658379;84.89425678098073
2020-08-28;60+;883;44064;17857583.105505366;4.944678094359686;2.0039034132171385;23.693015874559265
2020-08-28;whole;7490;198185;67114995.0;11.159950172088966;3.7792971213764917;56.71608855815306
2020-08-29;0-19;460;11760;16099691.846810132;2.857197543760074;3.9115646258503403;35.913730865262494
2020-08-29;20-59;2111;51987;33157720.0476845;6.366541478015214;4.060630542250947;86.40521712228133
2020-08-29;60+;354;19096;17857583.105505366;1.9823511272970884;1.853791369920402;24.314600550067677
2020-08-29;whole;2927;82871;67114995.0;4.36117144909271;3.5319955110955576;57.841023455339595
2020-08-30;0-19;185;3911;16099691.846810132;1.1490903165122037;4.730248018409614;36.35473309484285
2020-08-30;20-59;894;15988;33157720.0476845;2.6962046808837528;5.591693770327746;86.97522012528695
2020-08-30;60+;137;6439;17857583.105505366;0.7671810859878562;2.127659574468085;24.364999307541336
2020-08-30;whole;1217;26344;67114995.0;1.8133056554649225;4.619647737625265;58.243318054333464
2020-08-31;0-19;1528;28470;16099691.846810132;9.490864884489985;5.367053038285915;39.87653963247755
2020-08-31;20-59;6706;138678;33157720.0476845;20.224550995532937;4.835662469894288;91.58651426071341
2020-08-31;60+;1110;48797;17857583.105505366;6.215846755084091;2.274730003893682;26.414548778136627
2020-08-31;whole;9348;216021;67114995.0;13.928333005165237;4.3273570625078115;61.91313878515524
2020-09-01;0-19;1433;22946;16099691.846810132;8.900791478713447;6.2450971846945;42.42938352483709
2020-09-01;20-59;6291;126822;33157720.0476845;18.972957100044393;4.960495813029285;95.67304372670614
2020-09-01;60+;1014;43416;17857583.105505366;5.678260008698439;2.3355444997236043;27.915311778463234
2020-09-01;whole;8745;193275;67114995.0;13.02987506741228;4.524641055490881;64.93928815758684
2020-09-02;0-19;1461;23778;16099691.846810132;9.074707850942323;6.144335099671966;45.80211888627563
2020-09-02;20-59;6485;126378;33157720.0476845;19.558039547573976;5.131431103514853;100.44719586299135
2020-09-02;60+;1009;41948;17857583.105505366;5.650260698990853;2.405359015924478;29.483273122088047
2020-09-02;whole;8959;192188;67114995.0;13.348730786614825;4.661581368243595;68.50183032867692
2020-09-03;0-19;1493;23217;16099691.846810132;9.273469419203892;6.430632726019726;48.249370695496204
2020-09-03;20-59;6976;133654;33157720.0476845;21.03884099982669;5.2194472294132614;105.11579188760886
2020-09-03;60+;1110;42244;17857583.105505366;6.215846755084091;2.6275920840829468;31.454424525502105
2020-09-03;whole;9585;199190;67114995.0;14.281458264282074;4.8119885536422515;71.92282440012102
2020-09-04;0-19;1801;29613;16099691.846810132;11.186549513721507;6.0817884037416;51.93267100734344
2020-09-04;20-59;6852;136724;33157720.0476845;20.66487077563252;5.011556127673269;109.52200557750949
2020-09-04;60+;1305;48327;17857583.105505366;7.307819833679944;2.70035383946862;33.81756626482236
2020-09-04;whole;9968;214744;67114995.0;14.852120602854844;4.6418060574451445;75.61499483088689
2020-09-05;0-19;732;16969;16099691.846810132;4.546670873983422;4.313748600388944;53.62214433756679
2020-09-05;20-59;2655;54287;33157720.0476845;8.007185042221883;4.890673641940059;111.16264914171616
2020-09-05;60+;568;20063;17857583.105505366;3.180721582781769;2.831082091412052;35.01593672030704
2020-09-05;whole;3955;91383;67114995.0;5.89287088526193;4.327938456824573;77.1466942670561
2020-09-06;0-19;238;4813;16099691.846810132;1.4782891639454296;4.944940785372949;53.951343185000006
2020-09-06;20-59;917;15769;33157720.0476845;2.765570125693961;5.815207051810514;111.23201458652635
2020-09-06;60+;243;6829;17857583.105505366;1.3607664517886793;3.5583540781959293;35.609522086107866
2020-09-06;whole;1398;27420;67114995.0;2.082992034790437;5.0984682713347915;77.41638064638163
2020-09-07;0-19;2168;42044;16099691.846810132;13.466096249721392;5.156502711445152;57.92657455023141
2020-09-07;20-59;8267;146561;33157720.0476845;24.932353575912735;5.640654744440881;115.93981716690615
2020-09-07;60+;1666;51992;17857583.105505366;9.329369994567653;3.2043391290967844;38.72304532559143
2020-09-07;whole;12107;240682;67114995.0;18.03918781488399;5.030288928960204;81.52723545610039
2020-09-08;0-19;2115;49633;16099691.846810132;13.136897402288167;4.261277778897105;62.162680473806134
2020-09-08;20-59;7988;143397;33157720.0476845;24.09092057147586;5.570548895723062;121.05778063833762
2020-09-08;60+;1416;45001;17857583.105505366;7.929404509188354;3.1465967422946153;40.974189826081336
2020-09-08;whole;11522;238126;67114995.0;17.167549517063957;4.838614850961256;85.66490990575205
2020-09-09;0-19;2117;51258;16099691.846810132;13.149320000304515;4.130087010808069;66.23729262316833
2020-09-09;20-59;7595;141104;33157720.0476845;22.90567623189273;5.382554711418528;124.40541732265638
2020-09-09;60+;1456;41437;17857583.105505366;8.15339898684904;3.5137678886019743;43.477328113939535
2020-09-09;whole;11177;233891;67114995.0;16.65350641834958;4.7787217122505785;88.96968553748681
2020-09-10;0-19;2255;54832;16099691.846810132;14.006479263432535;4.112562007586811;70.97030246739696
2020-09-10;20-59;8010;148971;33157720.0476845;24.157270127381274;5.376885434077773;127.52384645021095
2020-09-10;60+;1623;43555;17857583.105505366;9.088575931082413;3.726323039834692;46.35005728993785
2020-09-10;whole;11890;247435;67114995.0;17.715862155692626;4.8053024026512015;92.40408942889738
2020-09-11;0-19;2220;60993;16099691.846810132;13.789083798146443;3.6397619398947425;73.57283675182191
2020-09-11;20-59;7336;147740;33157720.0476845;22.124561005551687;4.9654798971165555;128.98353668013013
2020-09-11;60+;1544;48073;17857583.105505366;8.646186837702555;3.211782081417844;47.688424293960466
2020-09-11;whole;11108;256908;67114995.0;16.550697798606706;4.323726781571613;94.10266662464923
2020-09-12;0-19;814;23514;16099691.846810132;5.055997392653696;3.4617674576847834;74.08216327049217
2020-09-12;20-59;2877;56073;33157720.0476845;8.676712379085634;5.130811620566048;129.65306401699388
2020-09-12;60+;706;20419;17857583.105505366;3.953502530711142;3.4575640334982123;48.461205241889836
2020-09-12;whole;4399;100035;67114995.0;6.554422003607391;4.397460888688959;94.76421774299467
2020-09-13;0-19;250;5540;16099691.846810132;1.5528247520435186;4.512635379061372;74.15669885859027
2020-09-13;20-59;979;15436;33157720.0476845;2.952555237791045;6.342316662347757;129.84004912909094
2020-09-13;60+;301;7301;17857583.105505366;1.6855584443966767;4.1227229146692235;48.785997234497835
2020-09-13;whole;1531;28284;67114995.0;2.2811593742948206;5.412954320463866;94.96238508249905
2020-09-14;0-19;2763;59663;16099691.846810132;17.161819159584965;4.631010844241825;77.85242176845384
2020-09-14;20-59;9583;157327;33157720.0476845;28.90126337461857;6.091135024503105;133.8089589277968
2020-09-14;60+;2182;54102;17857583.105505366;12.218898756390526;4.033122620235851;51.6755259963207
2020-09-14;whole;14539;271212;67114995.0;21.66281916582129;5.3607509992183235;98.58601643343637
2020-09-15;0-19;2542;63550;16099691.846810132;15.789122078778496;4.0;80.50464644494417
2020-09-15;20-59;8993;151309;33157720.0476845;27.121888920791488;5.94346668076585;136.83992727711242
2020-09-15;60+;1830;46778;17857583.105505366;10.247747352976473;3.9120954294753942;53.99386884010883
2020-09-15;whole;13374;261731;67114995.0;19.926992470162592;5.109826501255106;101.345459386535
2020-09-16;0-19;2617;60917;16099691.846810132;16.254969504391553;4.296009324162385;83.61029594903121
2020-09-16;20-59;8759;141076;33157720.0476845;26.416170917070236;6.208710198758116;140.35042196228994
2020-09-16;60+;1887;41213;17857583.105505366;10.566939483642953;4.578652366971587;56.407409336902745
