jour;three_class;hosp;rea;HospConv;SSR_USLD;autres;rad;dc;taux hosp;taux rea
2020-05-09;20-59;3549;826;0.0;0.0;0.0;21161;1048;10.703389738498304;2.4911242389404338
2020-05-09;60+;18704;1884;0.0;0.0;0.0;33513;15404;104.73981837295675;10.550139960150263
2020-05-09;whole;22547;2764;0.0;0.0;0.0;56029;16554;33.59457897597996;4.11830470970012
2020-05-10;0-19;132;30;0.0;0.0;0.0;950;6;0.8198915122035572;0.186338980046263
2020-05-10;20-59;3546;823;0.0;0.0;0.0;21211;1052;10.694342071770917;2.482076572213047
2020-05-10;60+;18665;1853;0.0;0.0;0.0;33636;15468;104.52142375594725;10.3765442389376
2020-05-10;whole;22502;2728;0.0;0.0;0.0;56208;16623;33.52752987614765;4.064665429834272
2020-05-11;0-19;127;29;0.0;0.0;0.0;961;6;0.78883501552918;0.18012768071138757
2020-05-11;20-59;3454;797;0.0;0.0;0.0;21370;1068;10.416880292131063;2.403663460575697
2020-05-11;60+;18480;1820;0.0;0.0;0.0;33971;15631;103.48544929064589;10.19174879377573
2020-05-11;whole;22219;2666;0.0;0.0;0.0;56715;16801;33.10586553720223;3.972286670065311
2020-05-12;0-19;124;29;0.0;0.0;0.0;965;6;0.7702011175245537;0.18012768071138757
2020-05-12;20-59;3325;749;0.0;0.0;0.0;21584;1076;10.027830622853442;2.258900792937512
2020-05-12;60+;17936;1704;0.0;0.0;0.0;34801;15805;100.43912437646236;9.542164804721894
2020-05-12;whole;21530;2496;0.0;0.0;0.0;57776;16984;32.07926931976974;3.7189900706988057
2020-05-13;0-19;121;32;0.0;0.0;0.0;980;6;0.7515672195199274;0.19876157871601388
2020-05-13;20-59;3277;716;0.0;0.0;0.0;21724;1088;9.883067955215257;2.15937645893626
2020-05-13;60+;17472;1624;0.0;0.0;0.0;35529;15889;97.84078842024701;9.09417584675373
2020-05-13;whole;21009;2385;0.0;0.0;0.0;58664;17082;31.302989741711222;3.5536022911124405
