jour;cl_age90;P;T;pop;incidence;positivite;incidence hebdo
2020-08-30;29;408;5425;7476787.1878041085;5.456889299531171;7.52073732718894;174.95482580188053
2020-08-30;39;228;4263;8295371.931939545;2.748520522897051;5.348346235045742;84.90276334545584
2020-08-30;49;152;3410;8592886.15993014;1.7689050823086403;4.457478005865103;55.1037208206014
2020-08-30;59;106;2890;8792674.76801071;1.205548968849008;3.667820069204152;45.26495184923633
2020-08-30;69;54;2133;8004082.760304243;0.674655692814793;2.5316455696202533;28.660373320687686
2020-08-30;79;36;1723;5695639.130797295;0.6320625161334721;2.089378990133488;20.682490111256392
2020-08-30;89;30;1637;3245280.6081309738;0.9244192913498978;1.832620647525962;18.950595472672905
2020-08-30;90;17;946;912580.6062728532;1.8628491426561344;1.7970401691331923;28.928951391836442
2020-08-31;0;9348;216021;67114995.0;13.928333005165237;4.3273570625078115;61.91313878515524
2020-08-31;9;322;7441;7763205.686272893;4.147771075670054;4.327375352775165;17.54429877348638
2020-08-31;19;1206;21029;8336486.160537239;14.466526744911912;5.734937467307052;60.673045004779816
2020-08-31;29;2955;43405;7476787.1878041085;39.52232323557503;6.807971431862689;183.58152579746292
2020-08-31;39;1628;35111;8295371.931939545;19.625400926650872;4.636723533935234;89.95377255200788
2020-08-31;49;1174;30789;8592886.15993014;13.662464254146998;3.813050115300919;58.210942248077764
2020-08-31;59;949;29373;8792674.76801071;10.793075202242532;3.2308582712014435;47.51682633821844
2020-08-31;69;634;21400;8004082.760304243;7.920957578603311;2.9626168224299065;31.771285682000343
2020-08-31;79;287;14793;5695639.130797295;5.038942836952958;1.9401068072737104;21.89394326717888
2020-08-31;89;120;8632;3245280.6081309738;3.697677165399591;1.3901760889712698;19.2587352364562
2020-08-31;90;69;3972;912580.6062728532;7.560975931957251;1.7371601208459215;33.092967122479564
2020-09-01;0;8745;193275;67114995.0;13.02987506741228;4.524641055490881;64.93928815758684
2020-09-01;9;252;6208;7763205.686272893;3.246081711393956;4.059278350515464;18.34293792470235
2020-09-01;19;1181;16738;8336486.160537239;14.166640203765315;7.055801170988171;64.85946111918634
2020-09-01;29;2746;40833;7476787.1878041085;36.727004942432835;6.724952856758014;190.20201649174706
2020-09-01;39;1504;32853;8295371.931939545;18.130591519461248;4.57796852646638;93.98011401976058
2020-09-01;49;1105;27250;8592886.15993014;12.859474447046365;4.055045871559633;61.585826944587666
2020-09-01;59;936;25886;8792674.76801071;10.645224857006333;3.6158541296453683;50.20087875942944
2020-09-01;69;522;18954;8004082.760304243;6.521671697209666;2.7540360873694207;33.045635323983845
2020-09-01;79;280;12928;5695639.130797295;4.916041792149227;2.1658415841584158;23.351198512708827
2020-09-01;89;166;7909;3245280.6081309738;5.115120078802768;2.0988746997091923;21.384899606560968
2020-09-01;90;46;3625;912580.6062728532;5.0406506213048345;1.2689655172413792;34.62707818113756
2020-09-02;0;8959;192188;67114995.0;13.348730786614825;4.661581368243595;68.50183032867692
2020-09-02;9;297;6796;7763205.686272893;3.825739159857162;4.37021777516186;19.682590694483984
2020-09-02;19;1164;16982;8336486.160537239;13.962717355785628;6.854316334942881;70.1254687817206
2020-09-02;29;2905;41187;7476787.1878041085;38.85358680180896;7.053196396921359;198.58797137117364
2020-09-02;39;1583;32727;8295371.931939545;19.08292977081593;4.836984752650716;98.58509138707055
2020-09-02;49;1059;26974;8592886.15993014;12.324147908979278;3.9260028175279897;64.84433630673516
2020-09-02;59;938;25490;8792674.76801071;10.667971063965748;3.679874460572773;53.544571182463486
2020-09-02;69;558;18511;8004082.760304243;6.971442159086195;3.0144238560855707;34.93217253907706
2020-09-02;79;234;12015;5695639.130797295;4.108406354867568;1.947565543071161;24.422193331712766
2020-09-02;89;152;7735;3245280.6081309738;4.683724409506149;1.965093729799612;22.987226378234126
2020-09-02;90;65;3687;912580.6062728532;7.1226584866263964;1.7629509085977761;36.38034796246098
2020-09-03;0;9585;199190;67114995.0;14.281458264282074;4.8119885536422515;71.92282440012102
2020-09-03;9;352;7092;7763205.686272893;4.534209374645525;4.963338973491258;21.099531124060707
2020-09-03;19;1141;16125;8336486.160537239;13.686821737930757;7.075968992248062;73.53217988914597
2020-09-03;29;2938;42855;7476787.1878041085;39.29495284809457;6.855676117139191;203.92448811262688
2020-09-03;39;1809;35045;8295371.931939545;21.80734046456476;5.161934655443002;104.16651683488342
2020-09-03;49;1210;28975;8592886.15993014;14.081415457851678;4.176013805004314;69.03384834378194
2020-09-03;59;1019;26779;8792674.76801071;11.589192445822066;3.805220508607491;57.25220291684816
2020-09-03;69;569;19027;8004082.760304243;7.108872022437356;2.9904872023965945;37.131050352695645
